url:	https://africanstorybook.org/reader.php?id=35072&d=0&a=1
id:	35072
title:	A Magulu ŵapelece ngongolo
author:	Ahmmardouh  Mjaya and Lyna  Tchale
artist:	Wiehan de Jager
lang:	Ciyawo (Malawi)
level:	Longer paragraphs
lic:	Creative Commons: Attribution 4.0
thumb:	http://africanstorybook.org/illustrations/covers/35072.png
desc:	A Magulu ŵaganisisye yakupeleka ngongolo ku yinyama yosope kuti nombe nayo yijendeje mpela ŵandu.

page_text:

P1	Kalakalako yinyama nganiyikola ngongolo.@@Yinyama yosope yagambaga kukwaŵa.
P2	Ŵandupe ni ŵaŵakwete ngongolo sisyaliji syakupegwa ni a Magulu.
P3	Lyuŵa line a Magulu ŵaganisisye yakupeleka ngongolo ku yinyama yosope. @@Ŵalakwewo ŵasosile kuti yinyama yosope yijendeje.
P4	Yinyamayo yatite, "Mpaka yiŵe yambone tuli tukwete ngongolo." @@Yajimbile ni kuŵina.
P5	Yinyamayo yatite kuti kukwaŵa kwaliji kwakusausya.@@Yapikanaga kupweteka.
P6	Pilyakwanile lyuŵalyo, yinyama yejinji yapite kumnango kwa a Magulu.@@Swala, masimba, ndembo, acikalunga, ngwena ni yinjuni yajimi pa ndandala.
P7	Cinyama cilicose ŵacipele ngongolo mcece.@@Yijuni ŵayipele ngongolo siŵilisiŵili.
P8	Cilicose caliji cakulekangana yijuniyo piyapocele ngongolopo@@Yine yaŵinaga ligongo lya kusengwa, yine yagwaga.
P9	Yapite kuja kwalanjisya ŵandu.@@Yinyama yatite, "Uwe ngasitukwaŵa soni."
P10	Ŵakumalicisya pa ndandalapo ŵaliji ce Lijongolo. A Magulu ŵawusisye kuti, "Ana pana soni ŵane kunyuma kwenuko?"@@Lijongolo lajanjile kuti, "Iyayi, une jwakumalisya."
P11	A Magulu ŵaganisisye, "Aŵa ni ŵakumalisya sambano. Cindende nasyo cici ngongolo syakusigalasi?" @@A Magulu ŵapele ce Lijongolo ngongolo syosope sila.
P12	Ce Lijongolo ŵasengwile mnope. @@Ŵalakwewo ŵatite, "Cinjendeje mwakwanuya mnope kulekangana ni ŵanewo."
P13	Ce Lijongolo ali atyosile, ŵaŵice ce Lijoka kumnango  kwa a Magulu. @@Ŵalakwewo ŵaŵendile a Magulu kuti, "Conde, mumbe none ngongolo."
P14	A Magulu ŵatite, "Mbelece ngongolo syosope. Mwaliji kwapi?"@@Ce Lijoka ŵajanjile kuti, "Nagonesye."
P15	A Magulu ŵalolesisye kuti ninkaŵa paliji pana ngongolo sine sisyasigele.@@Nganalusimana amta lumo.
P16	A Magulu ŵasalile ce Lijoka kuti, "Pepani, pangali ngongolo syasisigele." Ce Lijoka ŵaliwutile ulendo wa kumangwawo ali ŵangali ngongolo.@@Kutyocela lyele lyuŵalyo, ce Lijoka nganagonesya soni kwembeceya kuti caŵe ŵandanda pa ndandala ja ŵakuja kupocela ngongolo.

images:

illustrations/pages/13910.png
illustrations/pages/13904.png
illustrations/pages/13905.png
illustrations/pages/13906.png
illustrations/pages/13907.png
illustrations/pages/13908.png
illustrations/pages/13909.png
illustrations/pages/13910.png
illustrations/pages/13911.png
illustrations/pages/13912.png
illustrations/pages/13913.png
illustrations/pages/13914.png
illustrations/pages/13915.png
illustrations/pages/13916.png
illustrations/pages/13917.png
illustrations/pages/13918.png
illustrations/pages/13919.png

translations:

Afaan Oromo (Translation)	Luka Bineensootaa	id=21699
Afrikaans (Translation)	Maguru deel bene uit	id=20083
Amharic (Translation)	እንስሳቱ እግር ተሰጣቸው	id=21164
Chichewa (Translation)	Maguru apereka miyendo	id=34963
Chinkhonde (Translation)	Maguru ikupa amalundi	id=34998
ChiTonga (Translation)	Maguru upa maulu	id=18649
ChiTonga (Adaptation)	Maguru upa maulu	id=37705
Chitonga (Malawi) (Translation)	Magulu wapeleka malundi	id=35023
CiNyanja (Translation)	Maguru apasa mendo	id=18668
CiNyanja (Adaptation)	Maguru apasa miyendo	id=37706
Citumbuka (Translation)	Maguru wakupereka malundi	id=35049
Dhopadhola (Translation)	Ogwange Jo Nwaŋo Tyendi Gin	id=21239
Dinka (Translation)	Ten yok laai cok thin	id=39422
Ellomwe (Malawi) (Translation)	Maguru ahinya meto	id=35105
English (Original)	Maguru gives legs	id=14415
English (Adaptation)	Animals get legs	id=20884
French (Translation)	Maguru donne des pattes	id=33430
Fulfulde (Translation)	Dabbaji marɗi kosɗe	id=40174
Fulfulde Mbororoore (Translation)	Taalol: Maaguru Hokkii Koyɗe	id=32056
Hausa (Nigeria) (Translation)	Madugu ya raba ƙafafu	id=21315
IciBemba (Translation)	Maguru Apeela Amoolu	id=18691
IciBemba (Adaptation)	Mununga apeela amoolu	id=37719
IciBemba (Adaptation)	Moono Apeela Amoolu	id=38031
Igbo (Translation)	Chiokike na-enye ụkwụ!	id=22122
isiNdebele (Translation)	UMaguru unikela imilenze	id=21940
isiXhosa (Translation)	UMaguru uphisa ngemilenze	id=17576
isiZulu (Adaptation)	UMveli unikela ngemilenze	id=17461
Khoekhoegowab (Translation)	Magurub ge ǀnūga ra mā	id=31765
Kiduruma (Translation)	Anyama anapata magulu	id=39432
Kinyarwanda (Translation)	Maguru	id=17467
Kiswahili (Translation)	Maguru apatiana miguu	id=14412
Kiswahili (Translation)	Wanyama wapata miguu	id=21130
Lunyole (Translation)	Esolo Jifuna Amagulu	id=21035
Lunyole (Translation)	Esolo Jifuna Amagulu	id=21098
Lusoga (Translation)	Wamagulu agaba amagulu	id=26554
Oshikwanyama (Translation)	Shimbilinga ta havaleke omaulu	id=31570
Oshindonga (Translation)	Maguru ta gandja omagulu	id=31506
Otjiherero (Translation)	Maguru ujandja omarama	id=31515
Rukwangali (Translation)	Maguru ana gava maguru	id=31493
Sepedi (Translation)	Maguru o abela diphoofolo maoto	id=19043
Sesotho (Lesotho) (Translation)	Khalimane o fana ka maoto	id=36351
Sesotho (South Africa) (Translation)	Maguru o fana ka maoto	id=20037
Setswana (Translation)	Montshiwa o abelana ka maoto	id=14929
SiLozi (Translation)	Maguru Ufa Mautu Ahae	id=18735
Siswati (Translation)	Mveli unikela ngemilente	id=21735
Tigrigna (Translation)	ንእንሳት እግሪ ተዋሃቦም	id=21104
Tshivenḓa (Translation)	Maguru u ṋekedza milenzhe	id=18285
Xitsonga (Translation)	Maguru a phakela milenge	id=18870
